snapped_at,price,market_cap,total_volume
2013-05-03 00:00:00 UTC,0.0990055,100528.0,0.0
2013-05-04 00:00:00 UTC,0.193906,197809.0,0.0
2013-05-05 00:00:00 UTC,0.118,120599.0,0.0
2013-05-06 00:00:00 UTC,0.15392,157770.0,0.0
2013-05-07 00:00:00 UTC,0.214552,220540.0,0.0
2013-05-08 00:00:00 UTC,0.216315,222941.0,0.0
2013-05-09 00:00:00 UTC,0.223843,231361.0,0.0
2013-05-10 00:00:00 UTC,0.225496,233742.0,0.0
2013-05-11 00:00:00 UTC,0.198891,206557.0,0.0
2013-05-12 00:00:00 UTC,0.220199,229408.0,0.0
2013-05-13 00:00:00 UTC,0.240106,250691.0,0.0
2013-05-14 00:00:00 UTC,0.24778,259336.0,0.0
2013-05-15 00:00:00 UTC,0.286273,300656.0,0.0
2013-05-16 00:00:00 UTC,0.310947,327127.0,0.0
2013-05-17 00:00:00 UTC,0.29426,310389.0,0.0
2013-05-18 00:00:00 UTC,0.222201,234911.0,0.0
2013-05-19 00:00:00 UTC,0.196352,208114.0,0.0
2013-05-20 00:00:00 UTC,0.198926,211293.0,0.0
2013-05-21 00:00:00 UTC,0.190084,202270.0,0.0
2013-05-22 00:00:00 UTC,0.172896,184285.0,0.0
2013-05-23 00:00:00 UTC,0.200744,214088.0,0.0
2013-05-24 00:00:00 UTC,0.070015,74820.0,0.0
2013-05-25 00:00:00 UTC,0.10733,114728.0,0.0
2013-05-26 00:00:00 UTC,0.118985,127220.0,0.0
2013-05-27 00:00:00 UTC,0.122782,131519.0,0.0
2013-05-28 00:00:00 UTC,0.120751,129384.0,0.0
2013-05-29 00:00:00 UTC,0.117845,126306.0,0.0
2013-05-30 00:00:00 UTC,0.122054,130857.0,0.0
2013-05-31 00:00:00 UTC,0.11493,123447.0,0.0
2013-06-01 00:00:00 UTC,0.0835337,89759.0,0.0
2013-06-02 00:00:00 UTC,0.0712513,76579.0,0.0
2013-06-03 00:00:00 UTC,0.074378,80127.0,0.0
2013-06-04 00:00:00 UTC,0.0329346,35572.0,0.0
2013-06-05 00:00:00 UTC,0.0363012,39310.0,0.0
2013-06-06 00:00:00 UTC,0.0558233,60600.0,0.0
2013-06-07 00:00:00 UTC,0.05645,61417.0,0.0
2013-06-08 00:00:00 UTC,0.0539472,58824.0,0.0
2013-06-09 00:00:00 UTC,0.04675,51093.0,0.0
2013-06-10 00:00:00 UTC,0.0435249,47682.0,0.0
2013-06-11 00:00:00 UTC,0.0467764,51363.0,0.0
2013-06-12 00:00:00 UTC,0.0460944,50735.0,0.0
2013-06-13 00:00:00 UTC,0.0456765,50394.0,0.0
2013-06-14 00:00:00 UTC,0.0425062,47000.0,0.0
2013-06-15 00:00:00 UTC,0.0431601,47823.0,0.0
2013-06-16 00:00:00 UTC,0.0342739,37995.0,0.0
2013-06-17 00:00:00 UTC,0.02452,27182.0,0.0
2013-06-18 00:00:00 UTC,0.0214735,23946.0,0.0
2013-06-19 00:00:00 UTC,0.0170188,19024.0,0.0
2013-06-20 00:00:00 UTC,0.0187454,21001.0,0.0
2013-06-21 00:00:00 UTC,0.0176625,19835.0,0.0
2013-06-22 00:00:00 UTC,0.0204318,23000.0,0.0
2013-06-23 00:00:00 UTC,0.0214863,24245.0,0.0
2013-06-24 00:00:00 UTC,0.0202501,22908.0,0.0
2013-06-25 00:00:00 UTC,0.021229,24072.0,0.0
2013-06-26 00:00:00 UTC,0.0312157,35474.0,0.0
2013-06-27 00:00:00 UTC,0.0306913,34959.0,0.0
2013-06-28 00:00:00 UTC,0.0303764,34687.0,0.0
2013-06-29 00:00:00 UTC,0.0331108,37893.0,0.0
2013-06-30 00:00:00 UTC,0.0372347,42704.0,0.0
2013-07-01 00:00:00 UTC,0.0298366,34297.0,0.0
2013-07-02 00:00:00 UTC,0.0296349,34144.0,0.0
2013-07-03 00:00:00 UTC,0.028588,33011.0,0.0
2013-07-04 00:00:00 UTC,0.0274581,31783.0,0.0
2013-07-05 00:00:00 UTC,0.0198,22971.0,0.0
2013-07-06 00:00:00 UTC,0.0230007,26740.0,0.0
2013-07-07 00:00:00 UTC,0.0285811,33292.0,0.0
2013-07-08 00:00:00 UTC,0.0333155,38884.0,0.0
2013-07-09 00:00:00 UTC,0.0332075,38830.0,0.0
2013-07-10 00:00:00 UTC,0.0221022,25903.0,0.0
2013-07-11 00:00:00 UTC,0.0324052,38058.0,0.0
2013-07-12 00:00:00 UTC,0.0258377,30405.0,0.0
2013-07-13 00:00:00 UTC,0.0221126,26085.0,0.0
2013-07-14 00:00:00 UTC,0.0230515,27255.0,0.0
2013-07-15 00:00:00 UTC,0.027723,32855.0,0.0
2013-07-16 00:00:00 UTC,0.029341,34856.0,0.0
2013-07-17 00:00:00 UTC,0.032075,38182.0,0.0
2013-07-18 00:00:00 UTC,0.0389341,46440.0,0.0
2013-07-19 00:00:00 UTC,0.0375642,44916.0,0.0
2013-07-20 00:00:00 UTC,0.0393393,47145.0,0.0
2013-07-21 00:00:00 UTC,0.0322289,38699.0,0.0
2013-07-22 00:00:00 UTC,0.0338939,40774.0,0.0
2013-07-23 00:00:00 UTC,0.0339517,40938.0,0.0
2013-07-24 00:00:00 UTC,0.031482,38037.0,0.0
2013-07-25 00:00:00 UTC,0.0307242,37206.0,0.0
2013-07-26 00:00:00 UTC,0.0303975,36892.0,0.0
2013-07-27 00:00:00 UTC,0.0254415,30945.0,0.0
2013-07-28 00:00:00 UTC,0.0247418,30157.0,0.0
2013-07-29 00:00:00 UTC,0.0252533,30829.0,0.0
2013-07-30 00:00:00 UTC,0.031426,38437.0,0.0
2013-07-31 00:00:00 UTC,0.0317417,38908.0,0.0
2013-08-01 00:00:00 UTC,0.0316696,38889.0,0.0
2013-08-03 00:00:00 UTC,0.04368,53748.0,0.0
2013-08-04 00:00:00 UTC,0.037621,46385.0,0.0
2013-08-05 00:00:00 UTC,0.110315,136253.0,0.0
2013-08-06 00:00:00 UTC,0.08552,105851.0,0.0
2013-08-07 00:00:00 UTC,0.0826362,102510.0,0.0
2013-08-08 00:00:00 UTC,0.0928506,115416.0,0.0
2013-08-09 00:00:00 UTC,0.109882,136851.0,0.0
2013-08-10 00:00:00 UTC,0.0835011,104187.0,0.0
2013-08-11 00:00:00 UTC,0.0866314,108278.0,0.0
2013-08-12 00:00:00 UTC,0.0701185,87656.0,0.0
2013-08-13 00:00:00 UTC,0.0713226,89396.0,0.0
2013-08-14 00:00:00 UTC,0.0745033,93558.0,0.0
2013-08-15 00:00:00 UTC,0.0766452,96367.0,0.0
2013-08-16 00:00:00 UTC,0.0712631,89704.0,0.0
2013-08-17 00:00:00 UTC,0.07686,96859.0,0.0
2013-08-18 00:00:00 UTC,0.078435,98945.0,0.0
2013-08-19 00:00:00 UTC,0.078408,98955.0,0.0
2013-08-20 00:00:00 UTC,0.0615882,77827.0,0.0
2013-08-21 00:00:00 UTC,0.0483203,61139.0,0.0
2013-08-22 00:00:00 UTC,0.0487396,61763.0,0.0
2013-08-23 00:00:00 UTC,0.0460035,58418.0,0.0
2013-08-24 00:00:00 UTC,0.0440832,56084.0,0.0
2013-08-25 00:00:00 UTC,0.0432012,55074.0,0.0
2013-08-26 00:00:00 UTC,0.0485315,61989.0,0.0
2013-08-27 00:00:00 UTC,0.0398034,50944.0,0.0
2013-08-28 00:00:00 UTC,0.0432122,55410.0,0.0
2013-08-29 00:00:00 UTC,0.0447782,57506.0,0.0
2013-08-30 00:00:00 UTC,0.06094,78409.0,0.0
2013-08-31 00:00:00 UTC,0.0945507,121843.0,0.0
2013-09-01 00:00:00 UTC,0.106148,137003.0,0.0
2013-09-02 00:00:00 UTC,0.081708,105627.0,0.0
2013-09-03 00:00:00 UTC,0.081492,105454.0,0.0
2013-09-04 00:00:00 UTC,0.0763665,98971.0,0.0
2013-09-05 00:00:00 UTC,0.0640672,83174.0,0.0
2013-09-06 00:00:00 UTC,0.0615768,80032.0,0.0
2013-09-07 00:00:00 UTC,0.0550388,71652.0,0.0
2013-09-08 00:00:00 UTC,0.0692876,90309.0,0.0
2013-09-09 00:00:00 UTC,0.0508899,66447.0,0.0
2013-09-10 00:00:00 UTC,0.0570283,74571.0,0.0
2013-09-11 00:00:00 UTC,0.063505,83162.0,0.0
2013-09-12 00:00:00 UTC,0.059124,77552.0,0.0
2013-09-13 00:00:00 UTC,0.0576603,75763.0,0.0
2013-09-14 00:00:00 UTC,0.0583641,76806.0,0.0
2013-09-15 00:00:00 UTC,0.0586177,77269.0,0.0
2013-09-16 00:00:00 UTC,0.0549922,72583.0,0.0
2013-09-17 00:00:00 UTC,0.0550914,72822.0,0.0
2013-09-18 00:00:00 UTC,0.0513106,67934.0,0.0
2013-09-19 00:00:00 UTC,0.0502186,66591.0,0.0
2013-09-20 00:00:00 UTC,0.0558335,74130.0,0.0
2013-09-21 00:00:00 UTC,0.0554304,73715.0,0.0
2013-09-22 00:00:00 UTC,0.0501501,66717.0,0.0
2013-09-23 00:00:00 UTC,0.0519236,69077.0,0.0
2013-09-24 00:00:00 UTC,0.0729698,97075.0,0.0
2013-09-25 00:00:00 UTC,0.0930888,123841.0,0.0
2013-09-26 00:00:00 UTC,0.196108,260893.0,0.0
2013-09-27 00:00:00 UTC,0.184689,245701.0,0.0
2013-09-28 00:00:00 UTC,0.13378,179499.0,0.0
2013-09-29 00:00:00 UTC,0.145719,195850.0,0.0
2013-09-30 00:00:00 UTC,0.180655,243294.0,0.0
2013-10-01 00:00:00 UTC,0.155018,209020.0,0.0
2013-10-02 00:00:00 UTC,0.132353,178599.0,0.0
2013-10-03 00:00:00 UTC,0.135579,183129.0,0.0
2013-10-04 00:00:00 UTC,0.144912,195943.0,0.0
2013-10-05 00:00:00 UTC,0.150661,203870.0,0.0
2013-10-06 00:00:00 UTC,0.14329,194133.0,0.0
2013-10-07 00:00:00 UTC,0.139623,189397.0,0.0
2013-10-08 00:00:00 UTC,0.145059,196856.0,0.0
2013-10-09 00:00:00 UTC,0.140649,191012.0,0.0
2013-10-10 00:00:00 UTC,0.156166,212424.0,0.0
2013-10-11 00:00:00 UTC,0.234994,320170.0,0.0
2013-10-12 00:00:00 UTC,0.205018,279329.0,0.0
2013-10-13 00:00:00 UTC,0.263998,359687.0,0.0
2013-10-14 00:00:00 UTC,0.3342,455334.0,0.0
2013-10-15 00:00:00 UTC,0.358122,487927.0,0.0
2013-10-16 00:00:00 UTC,0.365851,498457.0,0.0
2013-10-17 00:00:00 UTC,0.304584,414984.0,0.0
2013-10-18 00:00:00 UTC,0.316346,431009.0,0.0
2013-10-19 00:00:00 UTC,0.299761,408412.0,0.0
2013-10-20 00:00:00 UTC,0.173968,237025.0,0.0
2013-10-21 00:00:00 UTC,0.17628,240175.0,0.0
2013-10-22 00:00:00 UTC,0.13393,182474.0,0.0
2013-10-23 00:00:00 UTC,0.128099,174530.0,0.0
2013-10-24 00:00:00 UTC,0.122282,166604.0,0.0
2013-10-25 00:00:00 UTC,0.180931,246511.0,0.0
2013-10-26 00:00:00 UTC,0.15103,205772.0,0.0
2013-10-27 00:00:00 UTC,0.131797,179568.0,0.0
2013-10-28 00:00:00 UTC,0.230576,314151.0,0.0
2013-10-29 00:00:00 UTC,0.180482,245900.0,0.0
2013-10-30 00:00:00 UTC,0.310681,433495.0,0.0
2013-10-31 00:00:00 UTC,0.357714,499388.0,0.0
2013-11-01 00:00:00 UTC,0.36678,512086.0,0.0
2013-11-02 00:00:00 UTC,0.443636,620088.0,0.0
2013-11-03 00:00:00 UTC,0.520715,728400.0,0.0
2013-11-04 00:00:00 UTC,0.477433,667876.0,0.0
2013-11-05 00:00:00 UTC,0.23228,324939.0,0.0
2013-11-06 00:00:00 UTC,0.251097,351461.0,0.0
2013-11-07 00:00:00 UTC,0.258311,361679.0,0.0
2013-11-08 00:00:00 UTC,0.266808,373587.0,0.0
2013-11-09 00:00:00 UTC,0.286114,400620.0,0.0
2013-11-10 00:00:00 UTC,0.23695,331780.0,0.0
2013-11-11 00:00:00 UTC,0.248043,347312.0,0.0
2013-11-12 00:00:00 UTC,0.312737,437898.0,0.0
2013-11-13 00:00:00 UTC,0.302017,423641.0,0.0
2013-11-14 00:00:00 UTC,0.292225,409920.0,0.0
2013-11-15 00:00:00 UTC,0.237586,333415.0,0.0
2013-11-16 00:00:00 UTC,0.256014,359389.0,0.0
2013-11-17 00:00:00 UTC,0.254771,357656.0,0.0
2013-11-18 00:00:00 UTC,0.202925,284956.0,0.0
2013-11-19 00:00:00 UTC,0.199524,280186.0,0.0
2013-11-20 00:00:00 UTC,0.171351,240628.0,0.0
2013-11-21 00:00:00 UTC,0.168574,236760.0,0.0
2013-11-22 00:00:00 UTC,0.195975,275451.0,0.0
2013-11-23 00:00:00 UTC,0.229399,322440.0,0.0
2013-11-24 00:00:00 UTC,0.224114,315115.0,0.0
2013-11-25 00:00:00 UTC,0.328873,462591.0,0.0
2013-11-26 00:00:00 UTC,0.79874,1124704.0,0.0
2013-11-30 00:00:00 UTC,0.588376,832324.0,0.0
2013-12-01 00:00:00 UTC,0.689544,977321.0,0.0
2013-12-02 00:00:00 UTC,0.324211,460351.0,0.0
2013-12-03 00:00:00 UTC,0.452357,643584.0,0.0
2013-12-04 00:00:00 UTC,0.546946,779650.0,0.0
2013-12-05 00:00:00 UTC,0.463603,662117.0,0.0
2013-12-06 00:00:00 UTC,0.47414,678466.0,0.0
2013-12-07 00:00:00 UTC,0.36508,523758.0,0.0
2013-12-08 00:00:00 UTC,0.319955,459467.0,0.0
2013-12-09 00:00:00 UTC,0.320185,460314.0,0.0
2013-12-10 00:00:00 UTC,0.462731,666530.0,0.0
2013-12-11 00:00:00 UTC,0.445481,642931.0,0.0
2013-12-12 00:00:00 UTC,0.57585,832823.0,0.0
2013-12-14 00:00:00 UTC,0.595565,863957.0,0.0
2013-12-15 00:00:00 UTC,0.620956,902162.0,0.0
2013-12-16 00:00:00 UTC,0.620889,903652.0,0.0
2013-12-17 00:00:00 UTC,0.403906,589213.0,0.0
2013-12-18 00:00:00 UTC,0.1997,291843.0,0.0
2013-12-19 00:00:00 UTC,0.292272,427893.0,0.0
2013-12-20 00:00:00 UTC,0.306509,449583.0,0.0
2013-12-21 00:00:00 UTC,0.271721,399326.0,0.0
2013-12-22 00:00:00 UTC,0.300843,442979.0,0.0
2013-12-23 00:00:00 UTC,0.301214,444390.0,0.0
2013-12-24 00:00:00 UTC,0.308531,456070.0,0.0
2013-12-25 00:00:00 UTC,0.300719,445398.0,0.0
2013-12-26 00:00:00 UTC,0.353262,524130.0,0.0
2013-12-27 00:00:00 UTC,0.419661,624016.0,5901.0
2013-12-28 00:00:00 UTC,0.383523,570797.0,3520.0
2013-12-29 00:00:00 UTC,0.367517,547762.0,1675.0
2013-12-30 00:00:00 UTC,0.379168,566103.0,3673.0
2013-12-31 00:00:00 UTC,0.482643,722271.0,23586.0
2014-01-01 00:00:00 UTC,0.499445,749287.0,2604.0
2014-01-02 00:00:00 UTC,0.489107,735267.0,2961.0
2014-01-03 00:00:00 UTC,0.491352,739149.0,2337.0
2014-01-04 00:00:00 UTC,0.673655,1014483.0,14316.0
2014-01-05 00:00:00 UTC,0.648341,978015.0,9504.0
2014-01-06 00:00:00 UTC,0.592672,895554.0,3865.0
2014-01-07 00:00:00 UTC,0.585023,885329.0,3144.0
2014-01-08 00:00:00 UTC,0.522785,791431.0,3629.0
2014-01-09 00:00:00 UTC,0.565075,856506.0,4364.0
2014-01-10 00:00:00 UTC,0.554708,841951.0,2467.0
2014-01-11 00:00:00 UTC,0.648355,984615.0,7461.0
2014-01-12 00:00:00 UTC,0.598344,909494.0,4189.0
2014-01-13 00:00:00 UTC,0.525581,799792.0,4959.0
2014-01-15 00:00:00 UTC,0.620137,944919.0,7266.0
2014-01-16 00:00:00 UTC,0.630242,961242.0,5186.0
2014-01-17 00:00:00 UTC,0.638222,973720.0,1751.0
2014-01-18 00:00:00 UTC,0.599933,915615.0,2723.0
2014-01-19 00:00:00 UTC,0.662466,1011710.0,1660.0
2014-01-20 00:00:00 UTC,0.632802,966995.0,2187.0
2014-01-21 00:00:00 UTC,0.571521,873872.0,2022.0
2014-01-22 00:00:00 UTC,0.648947,994285.0,4048.0
2014-02-17 00:00:00 UTC,0.815774,1298595.0,310427.0
2014-02-18 00:00:00 UTC,0.659979,1051814.0,109930.0
2014-02-19 00:00:00 UTC,0.845931,1350339.0,802271.0
2014-02-20 00:00:00 UTC,0.735565,1176230.0,113007.0
2014-02-21 00:00:00 UTC,0.613239,982328.0,166111.0
2014-02-22 00:00:00 UTC,0.567662,910923.0,59518.0
2014-02-23 00:00:00 UTC,0.573344,921622.0,22767.0
2014-02-24 00:00:00 UTC,0.515463,829961.0,46685.0
2014-02-25 00:00:00 UTC,0.494064,796750.0,78328.0
2014-02-26 00:00:00 UTC,0.557674,900762.0,25615.0
2014-02-27 00:00:00 UTC,0.541639,876222.0,5842.0
2014-02-28 00:00:00 UTC,0.49308,799037.0,12419.0
2014-03-01 00:00:00 UTC,0.466946,757971.0,14673.0
2014-03-02 00:00:00 UTC,0.33536,545285.0,25356.0
2014-03-03 00:00:00 UTC,0.494208,803898.0,62496.0
2014-03-04 00:00:00 UTC,0.531876,866367.0,75559.0
2014-03-05 00:00:00 UTC,0.456562,745018.0,19645.0
2014-03-06 00:00:00 UTC,0.447552,731534.0,8923.0
2014-03-07 00:00:00 UTC,0.443634,726316.0,9019.0
2014-03-08 00:00:00 UTC,0.426006,698511.0,6712.0
2014-03-09 00:00:00 UTC,0.409988,673357.0,3369.0
2014-03-10 00:00:00 UTC,0.400903,659437.0,3339.0
2014-03-11 00:00:00 UTC,0.388273,639637.0,22868.0
2014-03-12 00:00:00 UTC,0.394401,650737.0,58262.0
2014-03-13 00:00:00 UTC,0.321743,531700.0,5330.0
2014-03-14 00:00:00 UTC,0.31227,516860.0,404506.0
2014-03-15 00:00:00 UTC,0.298086,494115.0,2325.0
2014-03-16 00:00:00 UTC,0.298672,495843.0,3855.0
2014-03-17 00:00:00 UTC,0.288068,478890.0,4476.0
2014-03-18 00:00:00 UTC,0.277721,462325.0,8177.0
2014-03-19 00:00:00 UTC,0.285205,475351.0,4548.0
2014-03-20 00:00:00 UTC,0.266002,443957.0,8045.0
2014-03-21 00:00:00 UTC,0.243946,407715.0,5641.0
2014-03-22 00:00:00 UTC,0.23847,399170.0,5051.0
2014-03-23 00:00:00 UTC,0.232562,389839.0,5847.0
2014-03-24 00:00:00 UTC,0.222624,373729.0,2852.0
2014-03-25 00:00:00 UTC,0.212588,357380.0,4891.0
2014-03-26 00:00:00 UTC,0.227602,383175.0,5490.0
2014-03-27 00:00:00 UTC,0.200666,338365.0,2044.0
2014-03-28 00:00:00 UTC,0.198367,334897.0,9266.0
